,BRAND,CATEGORY,A ending?,"Plosive ending? (p,b,t,d,k,g)","Sonorant ending? (m,n,ng,l,r)","Fricative ending? (f,v,th,s,z,sh,ch,dge)","1st letter fricative? (f,v,th,s,z,sh,ch,j)","Total # of sonorants (m,n,l,r,w,y)","Total # of vowels (a, e, i, o, u)","1st letter plosive? (p,b,t,d,k,g)","Total # of plosives  (p,b,t,d,k,g)","VowelEnding? (a, e, i, o, u,y)",# of letters,"# of fricatives (f,v,th,s,z,sh,ch,j)","1st letter vowel? (a, e, i, o, u)","1st letter sonorant? (m,n,l,r,w,y)",Front Vowels,Back Vowels
1319,bandolier,A411 Handbags,0,0,1,0,0,3,4,1,2,0,9,0,0,0,1,1
1323,botkier,A411 Handbags,0,0,1,0,0,1,3,1,3,0,7,0,0,0,1,1
1330,brahmin,A411 Handbags,0,0,1,0,0,3,2,1,1,0,7,0,0,0,1,0
1333,burberry,A411 Handbags,0,0,0,0,0,4,2,1,2,1,8,0,0,0,2,1
1338,cccxxxlll,A411 Handbags,0,0,1,0,0,3,0,0,0,0,9,0,0,0,0,0
1339,celine,A411 Handbags,0,0,0,0,0,2,3,0,0,1,6,0,0,0,3,0
1342,cenzo,A411 Handbags,0,0,0,0,0,1,2,0,0,1,5,1,0,0,1,1
1343,chanel,A411 Handbags,0,0,1,0,1,2,2,0,0,0,6,1,0,0,1,0
1346,chloe,A411 Handbags,0,0,0,0,1,1,2,0,0,1,5,1,0,0,1,1
1350,couture,A411 Handbags,0,0,0,0,0,1,4,0,1,1,7,0,0,0,1,2
1352,dclassica,A411 Handbags,1,0,0,0,0,1,3,1,1,1,9,2,0,0,1,0
1353,dior,A411 Handbags,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
1356,dkny,A411 Handbags,0,0,0,0,0,2,0,1,2,1,4,0,0,0,1,0
1362,ecco,A411 Handbags,0,0,0,0,0,0,2,0,0,1,4,0,1,0,1,1
1364,etro,A411 Handbags,0,0,0,0,0,1,2,0,1,1,4,0,1,0,1,1
1365,fendi,A411 Handbags,0,0,0,0,1,1,2,0,1,1,5,1,0,0,2,0
1372,fregoli,A411 Handbags,0,0,0,0,1,2,3,0,1,1,7,1,0,0,2,1
1373,frye,A411 Handbags,0,0,0,0,1,2,1,0,0,1,4,1,0,0,1,0
1375,givenchy,A411 Handbags,0,0,0,0,0,2,2,1,1,1,8,2,0,0,3,0
1378,gucci,A411 Handbags,0,0,0,0,0,0,2,1,1,1,5,0,0,0,1,1
1382,hermes,A411 Handbags,0,0,0,1,0,2,2,0,0,0,6,1,0,0,2,0
1383,hobo,A411 Handbags,0,0,0,0,0,0,2,0,1,1,4,0,0,0,0,2
1389,jemma,A411 Handbags,1,0,0,0,1,2,2,0,0,1,5,1,0,0,1,0
1397,lanvin,A411 Handbags,0,0,1,0,0,3,2,0,0,0,6,1,0,1,1,0
1398,loewe,A411 Handbags,0,0,0,0,0,2,3,0,0,1,5,0,0,1,2,1
1399,longchamp,A411 Handbags,0,1,0,0,0,3,2,0,2,0,9,1,0,1,0,1
1409,mango,A411 Handbags,0,0,0,0,0,2,2,0,1,1,5,0,0,1,0,1
1414,maxmara,A411 Handbags,1,0,0,0,0,3,3,0,0,1,7,0,0,1,0,0
1416,mcm,A411 Handbags,0,0,1,0,0,2,0,0,0,0,3,0,0,1,0,0
1426,moschino,A411 Handbags,0,0,0,0,0,2,3,0,0,1,8,2,0,1,1,2
1427,moynat,A411 Handbags,0,1,0,0,0,3,2,0,1,0,6,0,0,1,0,1
1429,nehera,A411 Handbags,1,0,0,0,0,2,3,0,0,1,6,0,0,1,2,0
1431,oncour,A411 Handbags,0,0,1,0,0,2,3,0,0,0,6,0,1,0,0,2
1435,prada,A411 Handbags,1,0,0,0,0,1,2,1,2,1,5,0,0,0,0,0
1443,roth,A411 Handbags,0,0,0,1,0,1,1,0,1,0,4,1,0,1,0,1
1448,samara,A411 Handbags,1,0,0,0,1,2,3,0,0,1,6,1,0,0,0,0
1449,senreve,A411 Handbags,0,0,0,0,1,2,3,0,0,1,7,2,0,0,3,0
1453,spartina,A411 Handbags,1,0,0,0,1,2,3,0,2,1,8,1,0,0,1,0
1458,tiffany,A411 Handbags,0,0,0,0,0,2,2,1,1,1,7,2,0,0,2,0
1459,tods,A411 Handbags,0,0,0,1,0,0,1,1,2,0,4,1,0,0,0,1
1464,tumi,A411 Handbags,0,0,0,0,0,1,2,1,1,1,4,0,0,0,1,1
1465,valentino,A411 Handbags,0,0,0,0,1,3,4,0,1,1,9,1,0,0,2,1
1480,babiators,A430 Sunglasses,0,0,0,1,0,1,4,1,3,0,9,1,0,0,1,1
1483,burberry,A430 Sunglasses,0,0,0,0,0,4,2,1,2,1,8,0,0,0,2,1
1485,cartier,A430 Sunglasses,0,0,1,0,0,2,3,0,1,0,7,0,0,0,1,0
1486,celine,A430 Sunglasses,0,0,0,0,0,2,3,0,0,1,6,0,0,0,3,0
1487,chanel,A430 Sunglasses,0,0,1,0,1,2,2,0,0,0,6,1,0,0,1,0
1490,costa,A430 Sunglasses,1,0,0,0,0,0,2,0,1,1,5,1,0,0,0,1
1492,covry,A430 Sunglasses,0,0,0,0,0,2,1,0,0,1,5,1,0,0,1,1
1493,daysight,A430 Sunglasses,0,1,0,0,0,1,2,1,3,0,8,1,0,0,1,0
1494,dior,A430 Sunglasses,0,0,1,0,0,1,2,1,1,0,4,0,0,0,1,1
1495,dkny,A430 Sunglasses,0,0,0,0,0,2,0,1,2,1,4,0,0,0,1,0
1499,elle,A430 Sunglasses,0,0,0,0,0,2,2,0,0,1,4,0,1,0,2,0
1503,ess,A430 Sunglasses,0,0,0,1,0,0,1,0,0,0,3,2,1,0,1,0
1504,eyezz,A430 Sunglasses,0,0,0,1,0,1,2,0,0,0,5,2,1,0,2,0
1505,fendi,A430 Sunglasses,0,0,0,0,1,1,2,0,1,1,5,1,0,0,2,0
1506,foldies,A430 Sunglasses,0,0,0,1,1,1,3,0,1,0,7,2,0,0,1,1
1509,gamiss,A430 Sunglasses,0,0,0,1,0,1,2,1,1,0,6,2,0,0,1,0
1510,gatorz,A430 Sunglasses,0,0,0,1,0,1,2,1,2,0,6,1,0,0,0,1
1513,givenchy,A430 Sunglasses,0,0,0,0,0,2,2,1,1,1,8,2,0,0,3,0
1514,goodr,A430 Sunglasses,0,0,1,0,0,1,2,1,2,0,5,0,0,0,0,1
1515,gucci,A430 Sunglasses,0,0,0,0,0,0,2,1,1,1,5,0,0,0,1,1
1520,illesteva,A430 Sunglasses,1,0,0,0,0,2,4,0,1,1,9,2,1,0,3,0
1534,kaenon,A430 Sunglasses,0,0,1,0,0,2,3,1,1,0,6,0,0,0,1,1
1539,krewe,A430 Sunglasses,0,0,0,0,0,2,2,1,1,1,5,0,0,0,2,0
1542,longchamp,A430 Sunglasses,0,1,0,0,0,3,2,0,2,0,9,1,0,1,0,1
1543,luxottica,A430 Sunglasses,1,0,0,0,0,1,4,0,2,1,9,0,0,1,1,2
1545,maxmara,A430 Sunglasses,1,0,0,0,0,3,3,0,0,1,7,0,0,1,0,0
1550,mykita,A430 Sunglasses,1,0,0,0,0,2,2,0,2,1,6,0,0,1,1,0
1553,oakley,A430 Sunglasses,0,0,0,0,0,2,3,0,1,1,6,0,1,0,2,1
1559,popticals,A430 Sunglasses,0,0,0,1,0,1,3,1,3,0,9,1,0,0,1,1
1560,prada,A430 Sunglasses,1,0,0,0,0,1,2,1,2,1,5,0,0,0,0,0
1568,revo,A430 Sunglasses,0,0,0,0,0,1,2,0,0,1,4,1,0,1,1,1
1570,rocklands,A430 Sunglasses,0,0,0,1,0,3,2,0,2,0,9,1,0,1,0,1
1571,roka,A430 Sunglasses,1,0,0,0,0,1,2,0,1,1,4,0,0,1,0,1
1579,serengeti,A430 Sunglasses,0,0,0,0,1,2,4,0,2,1,9,1,0,0,4,0
1580,shadetree,A430 Sunglasses,0,0,0,0,1,1,4,0,2,1,9,1,0,0,2,0
1583,speedo,A430 Sunglasses,0,0,0,0,1,0,3,0,2,1,6,1,0,0,1,1
1588,tiffany,A430 Sunglasses,0,0,0,0,0,2,2,1,1,1,7,2,0,0,2,0
1591,truedark,A430 Sunglasses,0,1,0,0,0,2,3,1,3,0,8,0,0,0,1,1
1593,valentino,A430 Sunglasses,0,0,0,0,1,3,4,0,1,1,9,1,0,0,2,1
1594,vense,A430 Sunglasses,0,0,0,0,1,1,2,0,0,1,5,2,0,0,2,0
1596,voca,A430 Sunglasses,1,0,0,0,1,0,2,0,0,1,4,1,0,0,0,1
1597,vogue,A430 Sunglasses,0,0,0,0,1,0,3,0,1,1,5,1,0,0,1,2
1601,zeal,A430 Sunglasses,0,0,1,0,1,1,2,0,0,0,4,1,0,0,1,0
1670,barclaycard,B111 Credit Cards,0,1,0,0,0,4,3,1,2,0,11,0,0,0,0,0
1802,citi,B111 Credit Cards,0,0,0,0,0,0,2,0,1,1,4,0,0,0,2,0
1817,citibanamex,B111 Credit Cards,0,0,0,0,0,2,5,0,2,0,11,0,0,0,3,0
1819,citibank,B111 Credit Cards,0,1,0,0,0,1,3,0,3,0,8,0,0,0,2,0
1868,disney,B111 Credit Cards,0,0,0,0,0,2,2,1,1,1,6,1,0,0,3,0
1873,ebay,B111 Credit Cards,0,0,0,0,0,1,2,0,1,1,4,0,1,0,2,0
1930,hbl,B111 Credit Cards,0,0,1,0,0,1,0,0,1,0,3,0,0,0,0,0
1951,jcb,B111 Credit Cards,0,1,0,0,1,0,0,0,1,0,3,1,0,0,0,0
1974,macerich,B111 Credit Cards,0,0,0,1,0,2,3,0,0,0,8,1,0,1,2,0
1975,mastercard,B111 Credit Cards,0,1,0,0,0,3,3,0,2,0,10,1,0,1,1,0
2095,salesloft,B111 Credit Cards,0,1,0,0,1,2,3,0,1,0,9,3,0,0,1,1
2100,santander,B111 Credit Cards,0,0,1,0,1,3,3,0,2,0,9,1,0,0,1,0
2102,scotiabank,B111 Credit Cards,0,1,0,0,1,1,4,0,3,0,10,1,0,0,1,1
2130,sunoco,B111 Credit Cards,0,0,0,0,1,1,3,0,0,1,6,1,0,0,0,3
2161,unionpay,B111 Credit Cards,0,0,0,0,0,3,4,0,1,1,8,0,1,0,2,2
2201,visa,B111 Credit Cards,1,0,0,0,1,0,2,0,0,1,4,2,0,0,1,0
2204,walmart,B111 Credit Cards,0,1,0,0,0,4,2,0,1,0,7,0,0,1,0,0
2256,speedway,B111 Credit Cards,0,0,0,0,1,2,3,0,2,1,8,1,0,0,2,0
2307,ethereum,B111 Credit Cards,0,0,1,0,0,2,4,0,1,0,8,1,1,0,3,1
2365,prosper,B111 Credit Cards,0,0,1,0,0,2,2,1,2,0,7,1,0,0,1,1
2401,brinks,B111 Credit Cards,0,0,0,1,0,2,1,1,2,0,6,1,0,0,1,0
2411,lsc,B111 Credit Cards,0,0,0,0,0,1,0,0,0,0,3,1,0,1,0,0
2413,marqeta,B111 Credit Cards,1,0,0,0,0,2,3,0,1,1,7,0,0,1,1,0
2416,metabank,B111 Credit Cards,0,1,0,0,0,2,3,0,3,0,8,0,0,1,1,0
2422,netspend,B111 Credit Cards,0,1,0,0,0,2,2,0,3,0,8,1,0,1,2,0
2425,paypal,B111 Credit Cards,0,0,1,0,0,2,2,1,2,0,6,0,0,0,0,0
2433,univision,B111 Credit Cards,0,0,1,0,0,2,5,0,0,0,9,2,1,0,3,2
2441,cardcookie,B111 Credit Cards,0,0,0,0,0,1,5,0,2,1,10,0,0,0,1,1
2445,svm,B111 Credit Cards,0,0,1,0,1,1,0,0,0,0,3,2,0,0,0,0
2455,cabbux,B111 Credit Cards,0,0,0,0,0,0,2,0,2,0,6,0,0,0,0,1
2460,exxonmobil,B111 Credit Cards,0,0,1,0,0,3,4,0,1,0,10,0,1,0,2,2
2463,foodiecards,B111 Credit Cards,0,0,0,1,1,1,5,0,2,0,11,2,0,0,1,1
2464,fuelman,B111 Credit Cards,0,0,1,0,1,3,3,0,0,0,7,1,0,0,1,1
2477,huskypro,B111 Credit Cards,0,0,0,0,0,2,2,0,2,1,8,1,0,0,0,2
2478,lindbergh,B111 Credit Cards,0,0,0,0,0,3,2,0,3,0,9,0,0,1,2,0
2527,echarge,B111 Credit Cards,0,0,0,0,0,1,3,0,1,1,7,1,1,0,2,0
2533,itau,B111 Credit Cards,0,0,0,0,0,0,3,0,1,1,4,0,1,0,1,1
2622,aarp,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,1,2,0,1,0,4,0,1,0,0,0
2625,aberdeen,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,4,0,2,0,8,0,1,0,2,0
2630,alliancebernstein,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,6,7,0,2,0,17,1,1,0,4,0
2640,alps,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,1,1,0,1,0,4,1,1,0,0,0
2650,ameritrade,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,3,5,0,2,1,10,0,1,0,3,0
2654,avistone,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,4,0,1,1,8,2,1,0,2,1
2657,betashares,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,1,4,1,2,0,10,2,0,0,2,0
2659,blackrock,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,2,1,3,0,9,0,0,0,0,1
2686,bloomberg,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,3,3,1,3,0,9,0,0,0,1,1
2705,cboe,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,0,2,0,1,1,4,0,0,0,1,1
2736,direxion,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,4,1,1,0,8,0,0,0,3,1
2767,edvest,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,0,2,0,2,0,6,2,1,0,2,0
2777,evergreen,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,4,0,1,0,9,1,1,0,3,0
2781,fidelity,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,2,3,0,2,1,8,1,0,0,4,0
2831,gotham,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,1,2,1,2,0,6,1,0,0,0,1
2834,guggenheim,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,4,1,3,0,10,0,0,0,2,1
2845,highmark,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,2,0,2,0,8,0,0,0,1,0
2847,horizons,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,2,3,0,0,0,8,2,0,0,1,2
2852,icon,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,1,2,0,0,0,4,0,1,0,1,1
2857,invesco,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,3,0,0,1,7,2,1,0,2,1
2900,kpmg,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,1,0,1,3,0,4,0,0,0,0,0
2907,liquidnet,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,4,0,2,0,9,0,0,1,3,1
2912,marsico,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,3,0,0,1,7,1,0,1,1,1
2927,morningstar,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,5,3,0,2,0,11,1,0,1,1,1
2932,nationwide,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,3,5,0,2,1,10,0,0,1,3,1
2955,oppenheimerfunds,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,4,6,0,3,0,16,2,1,0,3,2
2986,pimco,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,2,1,1,1,5,0,0,0,1,1
3000,proshares,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,2,3,1,1,0,9,2,0,0,1,1
3020,rochester,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,3,0,1,0,9,2,0,1,2,1
3040,serenityshares,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,1,4,5,0,1,0,14,3,0,0,4,0
3083,streetshares,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,1,2,4,0,2,0,12,3,0,0,2,0
3084,symm,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,1,3,0,0,0,0,4,1,0,0,0,0
3113,transamerica,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,4,5,1,1,1,12,1,0,0,2,0
3118,uscf,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,0,1,0,0,0,4,2,1,0,0,1
3128,vanguard,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,1,2,3,0,2,0,8,1,0,0,0,1
3148,vontobel,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,1,2,3,0,2,0,8,1,0,0,1,2
3202,advisorworld,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,4,4,0,2,0,12,2,1,0,1,2
3205,allianz,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,3,3,0,0,0,7,1,1,0,1,0
3213,annuitydiscovery,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,5,6,0,2,1,16,2,1,0,4,2
3214,annuityfyi,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,4,4,0,1,1,10,1,1,0,2,1
3215,annuitywatch,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,4,4,0,2,0,12,1,1,0,1,1
3216,athene,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,3,0,1,1,6,1,1,0,2,0
3246,metlife,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,3,0,1,1,7,1,0,1,3,0
3257,prudential,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,4,1,3,0,10,0,0,0,2,1
3282,collegechoice,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,6,0,1,1,13,1,0,0,4,2
3295,massmutual,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,4,0,1,0,10,2,0,1,0,2
3303,nextgen,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,2,0,2,0,7,0,0,1,2,0
3313,scholarshare,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,3,4,0,0,1,12,3,0,0,1,1
3318,tiaa,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,0,3,1,1,1,4,0,0,0,1,0
3322,upromise,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,4,0,1,1,8,1,1,0,2,2
3335,alvexo,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,3,0,0,1,6,1,1,0,1,1
3340,ashokfx,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,0,2,0,1,0,7,2,1,0,0,1
3345,bitconnect,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,3,1,3,0,10,0,0,0,2,1
3382,eoption,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,1,4,0,2,0,7,0,1,0,2,2
3428,marketaxess,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,2,4,0,2,0,11,2,0,1,2,0
3439,nadex,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,2,0,1,0,5,0,0,1,1,0
3443,oanda,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,1,3,0,1,1,5,0,1,0,0,1
3448,optionshouse,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,6,0,2,1,12,2,1,0,2,3
3467,sharebid,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,1,1,3,0,2,0,8,1,0,0,2,0
3491,thinkorswim,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,1,4,3,1,2,0,11,2,0,0,2,1
3496,topsteptrader,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,4,1,6,0,13,1,0,0,2,1
3500,trademonster,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,4,4,1,3,0,12,1,0,0,2,1
3501,tradepmr,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,2,1,3,0,8,0,0,0,1,0
3506,tradeweb,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,3,1,3,0,8,0,0,0,2,0
3509,tradovate,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,4,1,3,1,9,1,0,0,1,1
3517,wefunder,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,3,0,1,0,8,1,0,1,2,1
3521,xm,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0
3524,zulutrade,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,2,4,0,2,1,9,1,0,0,1,2
3593,barings,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,2,2,1,2,0,7,1,0,0,1,0
3598,beamalife,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,5,1,1,1,9,1,0,0,3,0
3631,brightplan,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,2,1,4,0,10,0,0,0,1,0
3663,cfra,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,1,1,0,0,1,4,1,0,0,0,0
3675,citi,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,0,2,0,1,1,4,0,0,0,2,0
3676,citibank,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,1,3,0,3,0,8,0,0,0,2,0
3689,commsec,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,2,2,0,0,0,7,1,0,0,1,1
3695,conterra,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,3,3,0,1,1,8,0,0,0,1,1
3723,dmm,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,0,1,1,0,3,0,0,0,0,0
3742,ellevest,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,3,0,1,0,8,2,1,0,3,0
3745,envion,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,3,0,0,0,6,1,1,0,2,1
3746,eqeus,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,0,3,0,0,0,5,1,1,0,2,1
3767,finect,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,1,1,2,0,1,0,6,1,0,0,2,0
3768,finhabits,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,1,1,3,0,2,0,9,2,0,0,2,0
3782,forex,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,1,2,0,0,0,5,1,0,0,1,1
3800,goldmoney,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,4,3,1,2,1,9,0,0,0,2,2
3816,hawthorn,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,2,0,1,0,8,1,0,0,0,1
3954,nextseed,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,1,3,0,2,0,8,1,0,1,2,0
3955,nma,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,2,1,0,0,1,3,0,0,1,0,0
3971,okeydeposit,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,1,5,0,4,0,11,1,1,0,3,2
4023,raiffeisenbank,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,3,6,0,2,0,14,3,0,1,3,0
4088,stash,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,1,0,1,0,1,0,5,2,0,0,0,0
4135,transunion,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,4,4,1,1,0,10,1,0,0,1,2
4147,usaa,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,0,3,0,0,1,4,1,1,0,0,1
4177,westex,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,2,0,1,0,6,1,0,1,2,0
4205,citigroup,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,1,4,0,3,0,9,0,0,0,2,1
4215,fundrise,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,2,3,0,1,1,8,2,0,0,2,1
4218,groundfloor,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,4,4,1,2,0,11,1,0,0,0,2
4247,peerstreet,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,4,1,3,0,10,1,0,0,2,0
4252,realcrowd,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,4,3,0,1,0,9,0,0,1,1,1
4257,sharestates,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,1,1,4,0,2,0,11,3,0,0,2,0
4263,streitwise,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,2,4,0,2,1,10,2,0,0,3,0
4308,amr,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,1,0,0,0,3,0,1,0,0,0
4311,arborcrowd,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,4,3,0,2,0,10,0,1,0,0,2
4341,bitcoinira,B122 Investment Products & Services (Excluding Retirement),1,0,0,0,0,2,5,1,2,1,10,0,0,0,3,1
4342,bitstrades,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,1,3,1,4,0,10,2,0,0,2,0
4346,blockweather,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,4,1,3,0,12,1,0,0,2,1
4368,calvert,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,2,0,1,0,7,1,0,0,1,0
4377,carax,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0
4393,cnote,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,1,2,0,1,1,5,0,0,0,1,1
4408,crowdwiz,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,3,2,0,1,0,8,1,0,0,1,1
4413,dealroom,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,4,1,1,0,8,0,0,0,1,1
4478,globofran,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,3,1,2,0,9,1,0,0,0,2
4498,halkbank,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,2,0,3,0,8,0,0,0,0,0
4528,inportal,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,3,3,0,2,0,8,0,1,0,1,1
4530,instinet,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,3,0,2,0,8,1,1,0,3,0
4532,intellicentrics,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,0,5,5,0,2,0,15,1,1,0,5,0
4552,jefferies,B122 Investment Products & Services (Excluding Retirement),0,0,0,1,1,1,4,0,0,0,9,4,0,0,3,0
4560,keybank,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,0,2,2,1,3,0,7,0,0,0,1,0
4583,ljpr,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,0,0,1,0,4,1,0,1,0,0
4681,qplum,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,0,2,1,0,1,0,5,0,0,0,0,1
4722,santander,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,1,3,3,0,2,0,9,1,0,0,1,0
4726,scripbox,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,1,2,0,2,0,8,1,0,0,1,1
4730,seedinvest,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,1,1,4,0,2,0,10,3,0,0,3,0
4735,sharespost,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,1,1,3,0,2,0,10,3,0,0,1,1
4749,stackin,B122 Investment Products & Services (Excluding Retirement),0,0,1,0,1,1,2,0,2,0,7,1,0,0,1,0
4792,unionbanc,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,0,3,4,0,1,0,9,0,1,0,1,2
4800,vested,B122 Investment Products & Services (Excluding Retirement),0,1,0,0,1,0,2,0,2,0,6,2,0,0,2,0
4801,vestory,B122 Investment Products & Services (Excluding Retirement),0,0,0,0,1,2,2,0,1,1,7,2,0,0,2,1
