Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
lactaid,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.lactaid.com/,
hudsonville,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.hudsonvilleicecream.com/,
coolhaus,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://cool.haus/,
abbotts,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,6:05,,,,https://www.abbottscustard.com/,
loacker,F343 Cookies & Crackers,,,,4:05,,,,https://www.loackerusa.com/en/,
biscoff,F343 Cookies & Crackers,,,,2:01,,,,https://www.lotusbiscoff.com/en-us,
crunchmaster,F343 Cookies & Crackers,,,,0:01,,,,https://crunchmaster.com/,
mcdonalds,F411 Coffee,,,,2:02,,,,https://www.mcdonalds.com/us/en-us.html,
nespresso,F411 Coffee,,,,2:01,,,,https://www.nespresso.com/us/,
nescafe,F411 Coffee,,,,2:00,,,,https://www.nescafe.com/,
tostitos,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,3:03,,,,https://www.tostitos.com/,
shearers,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,1:00,,,,https://www.shearers.com/,
pringles,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,8:05,,,,https://www.popcorners.com/,
landshark,F611 Regular Beer & Ale,,,,2:01,,,,https://www.landsharklager.com/,
miller,F611 Regular Beer & Ale,,,,3:01,,,,https://www.millerlite.com/,
heineken,F611 Regular Beer & Ale,,,,2:02,,,,https://www.heineken.com/us,
steinlager,F611 Regular Beer & Ale,,,,3:00,,,,https://steinlager.com/,
carlsberg,F611 Regular Beer & Ale,,,,3:01,,,,https://www.carlsberg.com/en/,
amstel,F611 Regular Beer & Ale,,,,3:00,,,,https://www.amstel.com/,
rogue,F611 Regular Beer & Ale,,,,4:01,,,,https://www.rogue.com/,
tecate,F611 Regular Beer & Ale,,,,3:01,,,,https://tecatebeerusa.com/,
labatt,F611 Regular Beer & Ale,,,,2:02,,,,http://www.labatt.com/,
sol,F611 Regular Beer & Ale,,,,6:05,,,,https://www.sol.com/ca/en/homepage,
busch,F611 Regular Beer & Ale,,,,2:00,,,,https://www.busch.com/,
